PSN~,Drivers,Category,Wins,Podiums,Wins,Podiums,Inactive
The_Ancient_Pleb,TheAncientPleb,Platinum,4,2,27,13,N
Silent_Noise_74,MACOVV,Platinum,2,,21,16,N
PagalRajaJr,PagalRajaJr,Gold,1,1,1,18,N
Enchartedman,Ench,Gold,,2,5,8,N
hersheys_20,Hersheys_20,Gold,,1,7,7,N
Mercurial-Seasor,ModiKiGuarantee,Gold,,1,1,7,N
Galaxy,Nilesh,Gold,,1,1,3,N
DG7020,Daanish,Gold,,,1,6,N
iamrahul_15,iamrahul_15,Silver,,,1,5,N
Az_kaz_,Azkaz,Silver,,,1,3,N
aydanfernandes,Enavery,Silver,,,,4,N
R Vijit,R Vijit,Silver,,,,4,N
Vishalxander,Xander,Silver,,,,4,N
Flash,Flash,Silver,,,,3,N
Gnanesh44,Gnanesh44,Bronze,,,,2,N
Abdus_Salaam10,Abdus Salam,Bronze,,,,2,N
SNI.IT.IS.I.LOL,Peeyanshu,Bronze,,,,1,N
Dukhi__Aatma,Dukhi__Aatma,Bronze,2,2,18,13,Y
MP_TEGHisONE,MP_TeghisOne,Bronze,1,,3,,Y
Rayz_IV_gaming,RayzGaming4,Bronze,,2,5,14,Y
-,Abi2Speed,Bronze,,2,,7,Y
PhantomShadow_07,Mistogan,Bronze,,1,6,7,Y
prithvi92,Prithvi,Bronze,,1,2,22,Y
supervedu,Supervedu,Bronze,,1,2,11,Y
-,Abbythakur,Bronze,,1,1,6,Y
TheWildestMonk,TheWildestMonk,Bronze,,,5,15,Y
-,Arkayvi,Bronze,,,2,6,Y
RealMadrid_Bablu,RMadridBablu,Bronze,,,1,4,Y
SNI_FUNanywhere,FUNanywhere,Bronze,,,1,3,Y
-,Zolo_51,Bronze,,,1,3,Y
-,CHR15_P_BA30N Chris Bacon,Bronze,,,1,2,Y
not_sume,Sumeirr IRL,Bronze,,,1,,Y
-,GarvitLodha,Bronze,,,1,,Y
-,Shazz88_YT,Bronze,,,,5,Y
boo_karan,Boo_karan,Bronze,,,,3,Y
-,SNI_Fierce971,Bronze,,,,3,Y
vidvir,Vidvir,Bronze,,,,1,Y
shammyy_94,Shammy_94,Bronze,,,,1,Y
varrsam,Samy1144,Bronze,,,,1,Y
koolishan,Ishan4397,Bronze,,,,1,Y
sushimacher,Sushimacher,Bronze,,,,1,Y
Archie458,Archie458,Bronze,,,,,Y
Dinesh_ln,Dinesh_In,Bronze,,,,,Y
DrivingBad,Dan,Bronze,,,,,Y
abey_sale,excuse_me,Bronze,,,,,Y
Ryze_Hunter09,Niel Deshpande,Bronze,,,,,Y
RA-A_Cheeezy,RA-A_Cheeezy,Bronze,,,,,Y
Manu143685,Manu143685,Bronze,,,,,Y
HideinBush25,HideinBush25,Bronze,,,,,Y
braziliansam,Braziliansam,Bronze,,,,,Y
-,AxxE_93,Bronze,,,,,Y
theharieffect,theharieffect,Bronze,,,,,Y
HeroFmyth,DreamGT,Bronze,,,,,Y
N1N-G3N,Ningen,Bronze,,,,,Y
ynwafc123,DarsMotorsport,Bronze,,,,,Y
Electrosapien1,Electrosapien1,Bronze,,,,,Y
Abhi_274,Abhi_274,Bronze,,,,,Y
Yash542,Yash,Bronze,,,,,Y
RAGAVRON,RAGAVRON,Bronze,,,,,Y
Advancify_,Advancify,Bronze,,,,,Y
Tyson_9163,Tyson_9163,Bronze,,,,,Y
